"Z60W Data File: Version 1.1" 
"" 
"" 
"" 
"" 
"" 
"" 
"" 
0.2.0.1.1.100000 
150
Freq (Hz) Ampl Time(Sec); Z'(a) Z''(b) GD Err Range 
10000.00000 0.00000 0.00000 0.00000 87.04631 -64.68935 0.00000 0.00000 0.00000
7943.30000 0.00000 0.00000 0.00000 90.86430 -77.54525 0.00000 0.00000 0.00000
6309.60000 0.00000 0.00000 0.00000 95.25734 -93.16139 0.00000 0.00000 0.00000
5011.90000 0.00000 0.00000 0.00000 100.57208 -112.27174 0.00000 0.00000 0.00000
3981.10000 0.00000 0.00000 0.00000 106.86402 -135.49249 0.00000 0.00000 0.00000
3162.30000 0.00000 0.00000 0.00000 114.45402 -163.84459 0.00000 0.00000 0.00000
2511.90000 0.00000 0.00000 0.00000 123.51765 -198.21097 0.00000 0.00000 0.00000
1995.30000 0.00000 0.00000 0.00000 134.77848 -240.15757 0.00000 0.00000 0.00000
1584.90000 0.00000 0.00000 0.00000 148.16000 -290.94791 0.00000 0.00000 0.00000
1258.90000 0.00000 0.00000 0.00000 164.58463 -352.79301 0.00000 0.00000 0.00000
1000.00000 0.00000 0.00000 0.00000 184.56352 -427.67846 0.00000 0.00000 0.00000
794.33000 0.00000 0.00000 0.00000 209.11437 -518.67265 0.00000 0.00000 0.00000
630.96000 0.00000 0.00000 0.00000 239.35467 -629.00460 0.00000 0.00000 0.00000
501.19000 0.00000 0.00000 0.00000 276.52451 -762.72026 0.00000 0.00000 0.00000
398.11000 0.00000 0.00000 0.00000 322.67114 -926.08461 0.00000 0.00000 0.00000
316.23000 0.00000 0.00000 0.00000 378.74929 -1118.85986 0.00000 0.00000 0.00000
251.19000 0.00000 0.00000 0.00000 449.26286 -1353.64979 0.00000 0.00000 0.00000
199.53000 0.00000 0.00000 0.00000 535.69269 -1639.13040 0.00000 0.00000 0.00000
158.49000 0.00000 0.00000 0.00000 643.68616 -1981.90017 0.00000 0.00000 0.00000
125.89000 0.00000 0.00000 0.00000 776.91739 -2392.96573 0.00000 0.00000 0.00000
100.00000 0.00000 0.00000 0.00000 945.52120 -2894.34667 0.00000 0.00000 0.00000
79.43300 0.00000 0.00000 0.00000 1153.76384 -3487.89267 0.00000 0.00000 0.00000
63.09600 0.00000 0.00000 0.00000 1407.99263 -4194.12224 0.00000 0.00000 0.00000
50.11900 0.00000 0.00000 0.00000 1748.70420 -5061.07057 0.00000 0.00000 0.00000
39.81100 0.00000 0.00000 0.00000 2147.01218 -6047.78454 0.00000 0.00000 0.00000
31.62300 0.00000 0.00000 0.00000 2655.54184 -7224.15461 0.00000 0.00000 0.00000
25.11900 0.00000 0.00000 0.00000 3294.33406 -8655.66340 0.00000 0.00000 0.00000
19.95300 0.00000 0.00000 0.00000 4088.51150 -10291.13788 0.00000 0.00000 0.00000
15.84900 0.00000 0.00000 0.00000 5109.54826 -12208.30044 0.00000 0.00000 0.00000
12.58900 0.00000 0.00000 0.00000 6346.04253 -14459.97866 0.00000 0.00000 0.00000
10.00000 0.00000 0.00000 0.00000 7903.17351 -17037.21264 0.00000 0.00000 0.00000
7.94330 0.00000 0.00000 0.00000 9816.53258 -19956.65251 0.00000 0.00000 0.00000
6.30960 0.00000 0.00000 0.00000 12281.69731 -23296.69666 0.00000 0.00000 0.00000
5.01190 0.00000 0.00000 0.00000 15266.22084 -27005.81120 0.00000 0.00000 0.00000
3.98110 0.00000 0.00000 0.00000 18897.26567 -31072.26147 0.00000 0.00000 0.00000
3.16230 0.00000 0.00000 0.00000 23320.19094 -35426.91595 0.00000 0.00000 0.00000
2.51190 0.00000 0.00000 0.00000 28603.94414 -40056.70565 0.00000 0.00000 0.00000
1.99530 0.00000 0.00000 0.00000 34836.14698 -44722.99278 0.00000 0.00000 0.00000
1.58490 0.00000 0.00000 0.00000 42233.42496 -49327.62958 0.00000 0.00000 0.00000
1.25890 0.00000 0.00000 0.00000 50523.31208 -53818.63323 0.00000 0.00000 0.00000
1.00000 0.00000 0.00000 0.00000 60066.26104 -57919.99878 0.00000 0.00000 0.00000
0.79433 0.00000 0.00000 0.00000 70767.97721 -61557.74651 0.00000 0.00000 0.00000
0.63096 0.00000 0.00000 0.00000 82004.61410 -63994.41578 0.00000 0.00000 0.00000
0.50119 0.00000 0.00000 0.00000 94501.63256 -66229.06636 0.00000 0.00000 0.00000
0.39811 0.00000 0.00000 0.00000 107102.34517 -66967.89971 0.00000 0.00000 0.00000
0.31623 0.00000 0.00000 0.00000 121155.03534 -66357.45870 0.00000 0.00000 0.00000
0.25119 0.00000 0.00000 0.00000 135100.08640 -62077.17265 0.00000 0.00000 0.00000
0.19953 0.00000 0.00000 0.00000 146824.94815 -60750.01920 0.00000 0.00000 0.00000
0.15849 0.00000 0.00000 0.00000 161176.41798 -52506.88981 0.00000 0.00000 0.00000
0.12589 0.00000 0.00000 0.00000 170543.58472 -42643.12382 0.00000 0.00000 0.00000
0.10000 0.00000 0.00000 0.00000 178470.50206 -32599.25856 0.00000 0.00000 0.00000
