"Z60W Data File: Version 1.1" 
"" 
"" 
"" 
"" 
"" 
"" 
"" 
0.2.0.1.1.100000 
150
Freq (Hz) Ampl Time(Sec); Z'(a) Z''(b) GD Err Range 
1000000.00000 0.00000 0.00000 0.00000 57.20696 -27.14126 0.00000 0.00000 0.00000
794330.00000 0.00000 0.00000 0.00000 60.78460 -22.84889 0.00000 0.00000 0.00000
630960.00000 0.00000 0.00000 0.00000 62.74595 -18.79304 0.00000 0.00000 0.00000
501190.00000 0.00000 0.00000 0.00000 63.95627 -15.72750 0.00000 0.00000 0.00000
398110.00000 0.00000 0.00000 0.00000 64.69300 -13.49065 0.00000 0.00000 0.00000
316230.00000 0.00000 0.00000 0.00000 65.05127 -12.04260 0.00000 0.00000 0.00000
251190.00000 0.00000 0.00000 0.00000 65.38630 -11.31680 0.00000 0.00000 0.00000
199530.00000 0.00000 0.00000 0.00000 65.69206 -11.19830 0.00000 0.00000 0.00000
158490.00000 0.00000 0.00000 0.00000 66.18459 -11.63462 0.00000 0.00000 0.00000
125890.00000 0.00000 0.00000 0.00000 66.81556 -12.50567 0.00000 0.00000 0.00000
100000.00000 0.00000 0.00000 0.00000 67.60834 -13.81135 0.00000 0.00000 0.00000
79433.00000 0.00000 0.00000 0.00000 68.57475 -15.54154 0.00000 0.00000 0.00000
63096.00000 0.00000 0.00000 0.00000 69.74221 -17.72995 0.00000 0.00000 0.00000
50119.00000 0.00000 0.00000 0.00000 71.05584 -20.42867 0.00000 0.00000 0.00000
39811.00000 0.00000 0.00000 0.00000 72.58785 -23.71604 0.00000 0.00000 0.00000
31623.00000 0.00000 0.00000 0.00000 74.29628 -27.69801 0.00000 0.00000 0.00000
25119.00000 0.00000 0.00000 0.00000 76.28078 -32.54450 0.00000 0.00000 0.00000
19953.00000 0.00000 0.00000 0.00000 78.47063 -38.38282 0.00000 0.00000 0.00000
15849.00000 0.00000 0.00000 0.00000 80.95867 -45.49205 0.00000 0.00000 0.00000
12589.00000 0.00000 0.00000 0.00000 83.78968 -54.13391 0.00000 0.00000 0.00000
