"Z60W Data File: Version 1.1" 
"" 
"" 
"" 
"" 
"" 
"" 
"" 
0.2.0.1.1.100000 
150
Freq (Hz) Ampl Time(Sec); Z'(a) Z''(b) GD Err Range 
1000000.00000 0.00000 0.00000 0.00000 57.24726 -26.82003 0.00000 0.00000 0.00000
794330.00000 0.00000 0.00000 0.00000 60.80004 -22.58729 0.00000 0.00000 0.00000
630960.00000 0.00000 0.00000 0.00000 62.70971 -18.64292 0.00000 0.00000 0.00000
501190.00000 0.00000 0.00000 0.00000 63.96989 -15.68065 0.00000 0.00000 0.00000
398110.00000 0.00000 0.00000 0.00000 64.69134 -13.49291 0.00000 0.00000 0.00000
316230.00000 0.00000 0.00000 0.00000 65.07091 -12.09643 0.00000 0.00000 0.00000
251190.00000 0.00000 0.00000 0.00000 65.42790 -11.41551 0.00000 0.00000 0.00000
199530.00000 0.00000 0.00000 0.00000 65.77770 -11.35104 0.00000 0.00000 0.00000
158490.00000 0.00000 0.00000 0.00000 66.28617 -11.83889 0.00000 0.00000 0.00000
125890.00000 0.00000 0.00000 0.00000 66.89948 -12.77142 0.00000 0.00000 0.00000
100000.00000 0.00000 0.00000 0.00000 67.68918 -14.14499 0.00000 0.00000 0.00000
79433.00000 0.00000 0.00000 0.00000 68.68884 -15.97730 0.00000 0.00000 0.00000
63096.00000 0.00000 0.00000 0.00000 69.84744 -18.27629 0.00000 0.00000 0.00000
50119.00000 0.00000 0.00000 0.00000 71.18642 -21.11113 0.00000 0.00000 0.00000
39811.00000 0.00000 0.00000 0.00000 72.72709 -24.57694 0.00000 0.00000 0.00000
31623.00000 0.00000 0.00000 0.00000 74.44416 -28.76482 0.00000 0.00000 0.00000
25119.00000 0.00000 0.00000 0.00000 76.42009 -33.85609 0.00000 0.00000 0.00000
19953.00000 0.00000 0.00000 0.00000 78.65789 -40.03387 0.00000 0.00000 0.00000
15849.00000 0.00000 0.00000 0.00000 81.25629 -47.57559 0.00000 0.00000 0.00000
12589.00000 0.00000 0.00000 0.00000 84.17232 -56.72038 0.00000 0.00000 0.00000
10000.00000 0.00000 0.00000 0.00000 87.50589 -67.86057 0.00000 0.00000 0.00000
7943.30000 0.00000 0.00000 0.00000 91.47589 -81.47556 0.00000 0.00000 0.00000
6309.60000 0.00000 0.00000 0.00000 96.10013 -98.01995 0.00000 0.00000 0.00000
5011.90000 0.00000 0.00000 0.00000 101.59181 -118.19612 0.00000 0.00000 0.00000
3981.10000 0.00000 0.00000 0.00000 108.17347 -142.76881 0.00000 0.00000 0.00000
3162.30000 0.00000 0.00000 0.00000 116.08398 -172.67582 0.00000 0.00000 0.00000
2511.90000 0.00000 0.00000 0.00000 125.75252 -209.06089 0.00000 0.00000 0.00000
1995.30000 0.00000 0.00000 0.00000 137.29409 -253.31199 0.00000 0.00000 0.00000
1584.90000 0.00000 0.00000 0.00000 151.32880 -307.13212 0.00000 0.00000 0.00000
1258.90000 0.00000 0.00000 0.00000 168.50236 -372.59257 0.00000 0.00000 0.00000
1000.00000 0.00000 0.00000 0.00000 189.47408 -452.03161 0.00000 0.00000 0.00000
794.33000 0.00000 0.00000 0.00000 215.10769 -548.15231 0.00000 0.00000 0.00000
630.96000 0.00000 0.00000 0.00000 246.80398 -665.36458 0.00000 0.00000 0.00000
501.19000 0.00000 0.00000 0.00000 285.75889 -807.01700 0.00000 0.00000 0.00000
398.11000 0.00000 0.00000 0.00000 334.16551 -980.32333 0.00000 0.00000 0.00000
316.23000 0.00000 0.00000 0.00000 393.81892 -1187.86342 0.00000 0.00000 0.00000
251.19000 0.00000 0.00000 0.00000 467.02297 -1438.31540 0.00000 0.00000 0.00000
199.53000 0.00000 0.00000 0.00000 558.92106 -1740.59376 0.00000 0.00000 0.00000
158.49000 0.00000 0.00000 0.00000 672.90602 -2105.14394 0.00000 0.00000 0.00000
125.89000 0.00000 0.00000 0.00000 814.18467 -2542.44144 0.00000 0.00000 0.00000
100.00000 0.00000 0.00000 0.00000 990.85040 -3068.59865 0.00000 0.00000 0.00000
79.43300 0.00000 0.00000 0.00000 1211.41109 -3699.28448 0.00000 0.00000 0.00000
63.09600 0.00000 0.00000 0.00000 1478.18576 -4450.39632 0.00000 0.00000 0.00000
50.11900 0.00000 0.00000 0.00000 1822.04581 -5360.87010 0.00000 0.00000 0.00000
39.81100 0.00000 0.00000 0.00000 2259.84613 -6420.62883 0.00000 0.00000 0.00000
31.62300 0.00000 0.00000 0.00000 2815.71587 -7677.12676 0.00000 0.00000 0.00000
25.11900 0.00000 0.00000 0.00000 3475.78205 -9192.75584 0.00000 0.00000 0.00000
19.95300 0.00000 0.00000 0.00000 4317.17084 -10940.47639 0.00000 0.00000 0.00000
15.84900 0.00000 0.00000 0.00000 5389.86790 -13014.89456 0.00000 0.00000 0.00000
12.58900 0.00000 0.00000 0.00000 6703.94533 -15403.70551 0.00000 0.00000 0.00000
10.00000 0.00000 0.00000 0.00000 8359.98504 -18146.40549 0.00000 0.00000 0.00000
7.94330 0.00000 0.00000 0.00000 10316.10280 -21349.85055 0.00000 0.00000 0.00000
6.30960 0.00000 0.00000 0.00000 12897.79229 -24856.12235 0.00000 0.00000 0.00000
5.01190 0.00000 0.00000 0.00000 16021.18253 -28886.59726 0.00000 0.00000 0.00000
3.98110 0.00000 0.00000 0.00000 19881.98913 -33247.94092 0.00000 0.00000 0.00000
3.16230 0.00000 0.00000 0.00000 24209.88152 -38201.26400 0.00000 0.00000 0.00000
2.51190 0.00000 0.00000 0.00000 29873.20889 -43214.62846 0.00000 0.00000 0.00000
1.99530 0.00000 0.00000 0.00000 36444.89935 -48644.42662 0.00000 0.00000 0.00000
1.58490 0.00000 0.00000 0.00000 43923.96438 -53890.21821 0.00000 0.00000 0.00000
1.25890 0.00000 0.00000 0.00000 53045.65619 -59138.06299 0.00000 0.00000 0.00000
1.00000 0.00000 0.00000 0.00000 62975.08238 -64567.75442 0.00000 0.00000 0.00000
0.79433 0.00000 0.00000 0.00000 74256.14827 -68798.29893 0.00000 0.00000 0.00000
0.63096 0.00000 0.00000 0.00000 86476.94477 -71998.17996 0.00000 0.00000 0.00000
0.50119 0.00000 0.00000 0.00000 100704.88634 -75687.54339 0.00000 0.00000 0.00000
0.39811 0.00000 0.00000 0.00000 115537.11569 -75511.60630 0.00000 0.00000 0.00000
0.31623 0.00000 0.00000 0.00000 130048.10249 -74710.90277 0.00000 0.00000 0.00000
0.25119 0.00000 0.00000 0.00000 142022.68495 -74767.95041 0.00000 0.00000 0.00000
0.19953 0.00000 0.00000 0.00000 164924.32080 -69271.35452 0.00000 0.00000 0.00000
0.15849 0.00000 0.00000 0.00000 172189.99911 -73586.61431 0.00000 0.00000 0.00000
0.12589 0.00000 0.00000 0.00000 172548.18167 -54139.90414 0.00000 0.00000 0.00000
0.10000 0.00000 0.00000 0.00000 197730.45156 -27477.53019 0.00000 0.00000 0.00000
