"Z60W Data File: Version 1.1" 
"" 
"" 
"" 
"" 
"" 
"" 
"" 
0.2.0.1.1.100000 
150
Freq (Hz) Ampl Time(Sec); Z'(a) Z''(b) GD Err Range 
1000000.00000 0.00000 0.00000 0.00000 60.27588 -30.27942 0.00000 0.00000 0.00000
794330.00000 0.00000 0.00000 0.00000 64.50970 -25.89456 0.00000 0.00000 0.00000
630960.00000 0.00000 0.00000 0.00000 66.91292 -21.59521 0.00000 0.00000 0.00000
501190.00000 0.00000 0.00000 0.00000 68.49509 -18.39057 0.00000 0.00000 0.00000
398110.00000 0.00000 0.00000 0.00000 69.43615 -16.03780 0.00000 0.00000 0.00000
316230.00000 0.00000 0.00000 0.00000 70.02010 -14.60517 0.00000 0.00000 0.00000
251190.00000 0.00000 0.00000 0.00000 70.47848 -13.99035 0.00000 0.00000 0.00000
199530.00000 0.00000 0.00000 0.00000 70.94622 -14.11439 0.00000 0.00000 0.00000
158490.00000 0.00000 0.00000 0.00000 71.58100 -14.90113 0.00000 0.00000 0.00000
125890.00000 0.00000 0.00000 0.00000 72.41247 -16.27075 0.00000 0.00000 0.00000
100000.00000 0.00000 0.00000 0.00000 73.43144 -18.18078 0.00000 0.00000 0.00000
79433.00000 0.00000 0.00000 0.00000 74.67920 -20.70422 0.00000 0.00000 0.00000
63096.00000 0.00000 0.00000 0.00000 76.16200 -23.85363 0.00000 0.00000 0.00000
50119.00000 0.00000 0.00000 0.00000 77.88365 -27.72309 0.00000 0.00000 0.00000
39811.00000 0.00000 0.00000 0.00000 79.91334 -32.44194 0.00000 0.00000 0.00000
31623.00000 0.00000 0.00000 0.00000 82.24805 -38.16192 0.00000 0.00000 0.00000
25119.00000 0.00000 0.00000 0.00000 84.94324 -45.07435 0.00000 0.00000 0.00000
19953.00000 0.00000 0.00000 0.00000 88.11656 -53.45920 0.00000 0.00000 0.00000
15849.00000 0.00000 0.00000 0.00000 91.73615 -63.52961 0.00000 0.00000 0.00000
12589.00000 0.00000 0.00000 0.00000 96.06784 -75.72777 0.00000 0.00000 0.00000
10000.00000 0.00000 0.00000 0.00000 101.48865 -90.40565 0.00000 0.00000 0.00000
7943.30000 0.00000 0.00000 0.00000 107.53666 -108.13755 0.00000 0.00000 0.00000
6309.60000 0.00000 0.00000 0.00000 114.71146 -129.43915 0.00000 0.00000 0.00000
5011.90000 0.00000 0.00000 0.00000 123.31840 -155.15810 0.00000 0.00000 0.00000
3981.10000 0.00000 0.00000 0.00000 133.50152 -186.00910 0.00000 0.00000 0.00000
3162.30000 0.00000 0.00000 0.00000 145.71263 -223.24712 0.00000 0.00000 0.00000
2511.90000 0.00000 0.00000 0.00000 160.23039 -267.98629 0.00000 0.00000 0.00000
1995.30000 0.00000 0.00000 0.00000 177.69961 -322.13774 0.00000 0.00000 0.00000
1584.90000 0.00000 0.00000 0.00000 198.49285 -387.11669 0.00000 0.00000 0.00000
1258.90000 0.00000 0.00000 0.00000 223.57933 -465.63916 0.00000 0.00000 0.00000
1000.00000 0.00000 0.00000 0.00000 253.67064 -560.13309 0.00000 0.00000 0.00000
794.33000 0.00000 0.00000 0.00000 290.07988 -674.01947 0.00000 0.00000 0.00000
630.96000 0.00000 0.00000 0.00000 334.23146 -811.16925 0.00000 0.00000 0.00000
501.19000 0.00000 0.00000 0.00000 389.06273 -980.36247 0.00000 0.00000 0.00000
398.11000 0.00000 0.00000 0.00000 454.66353 -1179.98879 0.00000 0.00000 0.00000
316.23000 0.00000 0.00000 0.00000 534.40639 -1418.83538 0.00000 0.00000 0.00000
251.19000 0.00000 0.00000 0.00000 632.27044 -1707.98530 0.00000 0.00000 0.00000
199.53000 0.00000 0.00000 0.00000 752.16447 -2052.73399 0.00000 0.00000 0.00000
158.49000 0.00000 0.00000 0.00000 899.51009 -2465.82539 0.00000 0.00000 0.00000
125.89000 0.00000 0.00000 0.00000 1080.86482 -2960.40574 0.00000 0.00000 0.00000
