Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000000;57.2472645278115;26.820032410759;63.2183789291641;25.1028349297456;132.414455665686
2;794330;60.8000390289907;22.5872869567856;64.8600823156659;20.3800915298789;134.784497659702
3;630960;62.7097097013025;18.6429150208857;65.4222131335956;16.5566414087018;136.089522656407
4;501190;63.9698905420467;15.6806482280631;65.8637200954645;13.7730812493679;137.56954765267
5;398110;64.6913430299842;13.4929055140758;66.0834953845124;11.7814812538569;138.984573649098
6;316230;65.0709102175138;12.0964324217966;66.1857011284978;10.5308572630855;140.394601645538
7;251190;65.4279033996969;11.4155089064899;66.4162960942134;9.89703560355564;141.614625642457
8;199530;65.7776960509571;11.3510373745253;66.749916458749;9.7909126493838;142.969648639036
9;158490;66.2861672137023;11.8388918454385;67.335097267405;10.1264108535569;144.294673635691
10;125890;66.8994830118349;12.7714233363077;68.1076359983664;10.8079862245854;145.524696632585
11;100000;67.6891775724025;14.1449869108138;69.1513225841367;11.803228748466;146.984722628899
12;79433;68.6888427180795;15.977295131111;70.5225571973655;13.0943823179469;148.25974762568
13;63096;69.8474448527489;18.2762895468282;72.1989495218406;14.6632742006457;149.724774621981
14;50119;71.1864210287477;21.1111313165877;74.2508343680281;16.5183139370993;151.054798618623
15;39811;72.7270884623384;24.5769435440806;76.7675422960623;18.6718506462567;152.39482461524
16;31623;74.4441567136446;28.7648192319299;79.8081906463947;21.1262621652611;153.649844612071
17;25119;76.4200910316594;33.8560888709811;83.5838804251566;23.8945889031484;154.969871608739
18;19953;78.65788672892;40.0338744908414;88.2596977754176;26.9743642081985;156.284894605419
19;15849;81.2562861171737;47.5755896414429;94.1595495066058;30.3489909669278;157.594918602111
20;12589;84.1723165255959;56.7203836608181;101.499659072903;33.9744663821577;158.909944598791
21;10000;87.5058903817278;67.860570695924;110.735441059651;37.7934768014358;161.845000591381
22;7943.3;91.4758873693811;81.4755579302301;122.499406162063;41.6907510022316;163.025020588401
23;6309.6;96.1001300747343;98.0199534397163;137.270340105592;45.5666296251403;164.310044585157
24;5011.9;101.591807606419;118.196122787294;155.856404471195;49.3203166076633;165.640068581799
25;3981.1;108.173474796625;142.768809639185;179.121281972204;52.8494159590085;166.930090578542
26;3162.3;116.08398010777;172.675820589028;208.068328809925;56.088424760722;168.150115575462
27;2511.9;125.752521737516;209.060889815256;243.967523194566;58.9726091150383;170.42015956973
28;1995.3;137.294085204348;253.311989865746;288.126066231159;61.5424844307201;171.635179566663
