Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000000;57.2069590997839;27.1412641293372;63.3189101926336;25.381528894136;17.5183279557705
2;794330;60.7845982422908;22.8488933475596;64.9371951248655;20.6012098947985;18.8483499524125
3;630960;62.7459508214315;18.7930401078128;65.4998679462742;16.6734842594752;20.2283759489283
4;501190;63.9562708291689;15.7274985163888;65.8616640235958;13.8154871572582;21.7234039451537
5;398110;64.6929999664389;13.490645609589;66.0846560377005;11.7792698612742;23.0684249417578
6;316230;65.0512664640234;12.0425975232846;66.1565675022609;10.4881274720429;24.4234519383367
7;251190;65.3863026743009;11.3167984959352;66.3584094566234;9.81924824574443;25.7284769350418
8;199530;65.6920590953609;11.1982986682866;66.6396917853957;9.67402381409986;27.1335009314945
9;158490;66.1845941405829;11.6346249745342;67.1994419608655;9.97018779881658;28.5085269280229
10;125890;66.8155643349608;12.5056691962529;67.9758148126626;10.6012230396353;29.7585519248669
11;100000;67.6083411215858;13.8113535495296;69.004646771669;11.5457930461356;31.1485769213574
12;79433;68.5747497116855;15.5415396311099;70.3138375579492;12.7695972976287;32.4035999181888
13;63096;69.7422106036642;17.7299527513396;71.9605945254108;14.2636497795756;33.9286279143384
14;50119;71.0558366125908;20.4286746801118;73.9341779280803;16.0400339123619;35.6286579100463
15;39811;72.5878545698392;23.7160410768817;76.3639131750886;18.0933483302667;37.3786919056279
16;31623;74.296284312825;27.6980052202304;79.2913447727559;20.4456924199957;39.0787219013357
17;25119;76.2807785663046;32.5445048164072;82.9331174647785;23.1050809386005;40.4187488979525
18;19953;78.4706312974409;38.3828239025306;87.3549148414191;26.0649291543235;41.7337728946324
19;15849;80.9586700605004;45.4920505937187;92.8645945728857;29.3323712053972;42.9987948914385
20;12589;83.7896775188172;54.1339065619717;99.7556509595705;32.8652461437897;44.2338198883203
21;10000;87.0463056269926;64.6893522181483;108.451701755719;36.6182634267429;47.1588758809353
22;7943.3;90.8642977257013;77.5452503104076;119.455374290522;40.4780468557209;48.3538968779181
23;6309.6;95.2573438264134;93.1613912696402;133.240408195707;44.3626733427759;49.7189208744718
24;5011.9;100.572084734897;112.271740121889;150.730514023937;48.1462831962128;50.99894387124
25;3981.1;106.864018528248;135.49248758956;172.563416311839;51.7368703726192;52.248965868084
26;3162.3;114.454020144953;163.844588164099;199.861881803421;55.0636853998616;53.5939918646882
27;2511.9;123.517646663265;198.210973840375;233.546995673207;58.0703868626981;54.8590148614943
28;1995.3;134.778481387933;240.157566358768;275.392257924226;60.6984867220811;56.8640528564321
29;1584.9;148.159995437375;290.94791496174;326.499729660817;63.0133485683612;57.9740738536295
30;1258.9;164.584627871258;352.793008093369;389.295525649973;64.9900563478694;59.2540978503978
31;1000;184.563523758424;427.67845735149;465.803131359888;66.6575130656431;60.5991198470019
32;794.33;209.114374079044;518.672648495212;559.240679621492;68.0420796831483;62.0641478433031
33;630.96;239.354671421104;629.004597626331;673.006272308191;69.1667142183161;63.299172840185
34;501.19;276.524514893647;762.720261860029;811.300194249328;70.0718684691485;64.5691948369785
35;398.11;322.671141038995;926.084607062737;980.688209727206;70.7903798000035;66.664236831689
36;316.23;378.749289630163;1118.85986329049;1181.22750479226;71.2983404880782;67.8642568286592
37;251.19;449.262862329438;1353.64979303673;1426.25554570589;71.6395093538571;69.1792808253391
38;199.53;535.692686272896;1639.13040192154;1724.44632523884;71.9018226023445;70.5443058218927
